"time","open","close","high","low","volume","turnover"
"2022-05-05 21:20","4.79","4.79","4.79","4.79","0","0"
"2022-05-05 21:25","4.787","4.787","4.787","4.787","100","478.7"
"2022-05-05 21:30","4.787","4.787","4.787","4.787","0","0"
"2022-05-05 21:35","4.778","4.778","4.778","4.778","0.20908329","0.99899995962"
"2022-05-05 21:40","4.778","4.778","4.778","4.778","0","0"
"2022-05-05 21:45","4.778","4.778","4.778","4.778","0","0"
"2022-05-05 21:50","4.772","4.772","4.772","4.772","0.5922","2.8259784"
"2022-05-05 21:55","4.761","4.761","4.761","4.761","0.5044","2.4014484"
"2022-05-05 22:00","4.761","4.761","4.761","4.761","0","0"
"2022-05-05 22:05","4.761","4.761","4.761","4.761","0","0"
"2022-05-05 22:10","4.761","4.761","4.761","4.761","0","0"
"2022-05-05 22:15","4.761","4.761","4.761","4.761","0","0"
"2022-05-05 22:20","4.761","4.761","4.761","4.761","0","0"
"2022-05-05 22:25","4.761","4.761","4.761","4.761","0","0"
"2022-05-05 22:30","4.761","4.761","4.761","4.761","0","0"
"2022-05-05 22:35","4.754","4.753","4.754","4.751","1.06848304","5.07855988912"
"2022-05-05 22:40","4.736","4.734","4.736","4.726","23.6506","111.8410201"
"2022-05-05 22:45","4.734","4.734","4.734","4.734","0","0"
"2022-05-05 22:50","4.718","4.717","4.718","4.717","55.1227","260.0143681"
"2022-05-05 22:55","4.703","4.699","4.703","4.699","16.9877","79.8278121"
"2022-05-05 23:00","4.718","4.718","4.718","4.718","0.5922","2.7939996"
"2022-05-05 23:05","4.719","4.736","4.736","4.719","3.3174","15.6714352"
"2022-05-05 23:10","4.751","4.751","4.751","4.751","0.2661","1.2642411"
"2022-05-05 23:15","4.754","4.772","4.772","4.75","7.5996","36.1757377"
"2022-05-05 23:20","4.772","4.772","4.772","4.772","0","0"
"2022-05-05 23:25","4.772","4.772","4.772","4.772","0","0"
"2022-05-05 23:30","4.772","4.772","4.772","4.772","0","0"
"2022-05-05 23:35","4.785","4.789","4.79","4.785","3.3176","15.8880186"
"2022-05-05 23:40","4.784","4.784","4.784","4.784","1.9549","9.3522416"
"2022-05-05 23:45","4.784","4.784","4.784","4.784","0","0"
"2022-05-05 23:50","4.784","4.784","4.784","4.784","0","0"
"2022-05-05 23:55","4.784","4.784","4.784","4.784","0","0"
"2022-05-06 00:00","4.772","4.772","4.772","4.772","0.5922","2.8259784"
"2022-05-06 00:05","4.772","4.772","4.772","4.772","0","0"
"2022-05-06 00:10","4.772","4.772","4.772","4.772","0","0"
"2022-05-06 00:15","4.772","4.772","4.772","4.772","0","0"
"2022-05-06 00:20","4.772","4.772","4.772","4.772","0","0"
"2022-05-06 00:25","4.772","4.772","4.772","4.772","0","0"
"2022-05-06 00:30","4.772","4.772","4.772","4.772","0","0"
"2022-05-06 00:35","4.761","4.751","4.761","4.751","1.3627","6.4810083"
"2022-05-06 00:40","4.751","4.751","4.751","4.751","0","0"
"2022-05-06 00:45","4.751","4.751","4.751","4.751","0","0"
"2022-05-06 00:50","4.736","4.732","4.736","4.732","1.0966","5.19148"
"2022-05-06 00:55","4.732","4.732","4.732","4.732","0","0"
"2022-05-06 01:00","4.732","4.732","4.732","4.732","0","0"
"2022-05-06 01:05","4.732","4.732","4.732","4.732","0","0"
"2022-05-06 01:10","4.732","4.732","4.732","4.732","0","0"
"2022-05-06 01:15","4.732","4.732","4.732","4.732","0","0"
"2022-05-06 01:20","4.732","4.732","4.732","4.732","0","0"
"2022-05-06 01:25","4.732","4.732","4.732","4.732","0","0"
"2022-05-06 01:30","4.732","4.732","4.732","4.732","0","0"
"2022-05-06 01:35","4.732","4.732","4.732","4.732","0","0"
"2022-05-06 01:40","4.732","4.732","4.732","4.732","0","0"
"2022-05-06 01:45","4.732","4.732","4.732","4.732","0","0"
"2022-05-06 01:50","4.732","4.732","4.732","4.732","0","0"
"2022-05-06 01:55","4.732","4.732","4.732","4.732","0","0"
"2022-05-06 02:00","4.732","4.732","4.732","4.732","0","0"
"2022-05-06 02:05","4.732","4.732","4.732","4.732","0","0"
"2022-05-06 02:10","4.732","4.732","4.732","4.732","0","0"
"2022-05-06 02:15","4.754","4.761","4.761","4.754","1.0966","5.2167672"
"2022-05-06 02:20","4.761","4.761","4.761","4.761","0","0"
"2022-05-06 02:25","4.761","4.761","4.761","4.761","0","0"
"2022-05-06 02:30","4.761","4.761","4.761","4.761","0","0"
