"time","open","close","high","low","volume","turnover"
"2023-03-31 21:55","1.4024","1.3951","1.4025","1.3951","44456.2644","62238.08692877"
"2023-03-31 22:00","1.3957","1.3955","1.397","1.3924","20095.3846","28036.64420678"
"2023-03-31 22:05","1.3955","1.398","1.3991","1.3927","25893.6723","36133.24407608"
"2023-03-31 22:10","1.3978","1.3952","1.4008","1.3952","43407.4381","60753.03162717"
"2023-03-31 22:15","1.3961","1.4007","1.401","1.3961","26943.6079","37686.79329019"
"2023-03-31 22:20","1.4008","1.3967","1.4009","1.3965","18153.161","25385.59248714"
"2023-03-31 22:25","1.3965","1.395","1.3974","1.395","13693.7938","19119.58909243"
"2023-03-31 22:30","1.395","1.3975","1.3977","1.3927","18494.586","25798.88084863"
"2023-03-31 22:35","1.3975","1.4044","1.4044","1.3975","56357.495","79047.83907017"
"2023-03-31 22:40","1.4045","1.3993","1.4045","1.3985","15322.0721","21458.61430539"
"2023-03-31 22:45","1.3989","1.4034","1.4036","1.3989","31584.573","44297.39839808"
"2023-03-31 22:50","1.4032","1.4011","1.4069","1.401","53385.2423","74988.43144876"
"2023-03-31 22:55","1.4011","1.4016","1.4029","1.4006","14125.1998","19801.90148715"
"2023-03-31 23:00","1.4016","1.4054","1.4066","1.4016","27272.9454","38319.10791287"
"2023-03-31 23:05","1.4057","1.4062","1.4068","1.4055","10046.4845","14124.53472208"
"2023-03-31 23:10","1.4067","1.405","1.4068","1.4043","10332.3638","14522.37742149"
"2023-03-31 23:15","1.4049","1.4072","1.4078","1.4049","15475.1704","21772.51153577"
"2023-03-31 23:20","1.4071","1.3994","1.4083","1.3994","23328.9992","32771.09578928"
"2023-03-31 23:25","1.3993","1.3976","1.3999","1.3974","12755.6835","17831.8936845"
"2023-03-31 23:30","1.3975","1.3995","1.3997","1.3946","29620.1651","41364.64596801"
"2023-03-31 23:35","1.3995","1.3988","1.4011","1.3985","21827.8223","30559.85112923"
"2023-03-31 23:40","1.3987","1.3954","1.3991","1.3952","18672.5158","26086.86449341"
"2023-03-31 23:45","1.395","1.3922","1.3962","1.3922","37183.2917","51840.63502012"
"2023-03-31 23:50","1.3924","1.3888","1.3926","1.3888","23859.1402","33168.22562722"
"2023-03-31 23:55","1.3888","1.3901","1.3901","1.3884","6201.2295","8613.78631737"
"2023-04-01 00:00","1.39","1.3906","1.3931","1.3897","31090.974","43244.00345361"
"2023-04-01 00:05","1.3912","1.4023","1.4023","1.3912","22561.548","31545.07492838"
"2023-04-01 00:10","1.4022","1.3979","1.4026","1.3976","11217.3121","15700.03744941"
"2023-04-01 00:15","1.3978","1.4009","1.4023","1.3973","9631.9037","13487.45258279"
"2023-04-01 00:20","1.4016","1.3898","1.4017","1.3884","29380.4654","40983.62854925"
"2023-04-01 00:25","1.3896","1.3884","1.3917","1.3859","15294.1334","21222.60244163"
"2023-04-01 00:30","1.3884","1.395","1.395","1.3884","31991.9284","44490.04967124"
"2023-04-01 00:35","1.395","1.3911","1.395","1.391","8761.359","12201.33801725"
"2023-04-01 00:40","1.3911","1.3821","1.3911","1.3781","56792.7379","78471.7789973"
"2023-04-01 00:45","1.3822","1.3816","1.3841","1.3804","22253.2953","30745.17190973"
"2023-04-01 00:50","1.3814","1.3771","1.3815","1.3735","72681.4646","100208.66777073"
"2023-04-01 00:55","1.3774","1.3773","1.3789","1.3756","5901.5797","8128.63398744"
"2023-04-01 01:00","1.3776","1.3798","1.3805","1.3776","42926.8212","59193.41154984"
"2023-04-01 01:05","1.3794","1.3697","1.3794","1.3617","115345.7479","157967.18899902"
"2023-04-01 01:10","1.3699","1.3684","1.3708","1.3662","35746.0913","48903.91658808"
"2023-04-01 01:15","1.3682","1.3674","1.3703","1.3665","13898.5712","19016.51343372"
"2023-04-01 01:20","1.3669","1.3692","1.3711","1.3659","11901.4792","16274.56175258"
"2023-04-01 01:25","1.3693","1.372","1.3745","1.3682","22292.9441","30593.51404031"
"2023-04-01 01:30","1.3722","1.3791","1.3791","1.3722","14720.1193","20259.49331536"
"2023-04-01 01:35","1.3785","1.3777","1.3811","1.3754","29974.2431","41278.32307231"
"2023-04-01 01:40","1.377","1.3787","1.3787","1.377","5121.1453","7056.91616176"
"2023-04-01 01:45","1.378","1.3805","1.3813","1.3779","6045.7271","8341.02423853"
