"time","open","close","high","low","volume","turnover"
"2022-02-04 21:10","1.386","1.386","1.386","1.386","0","0"
"2022-02-04 21:15","1.383","1.383","1.383","1.383","0.5047","0.6980001"
"2022-02-04 21:20","1.383","1.383","1.383","1.383","0","0"
"2022-02-04 21:25","1.383","1.383","1.383","1.383","0","0"
"2022-02-04 21:30","1.383","1.383","1.383","1.383","0","0"
"2022-02-04 21:35","1.383","1.383","1.383","1.383","0","0"
"2022-02-04 21:40","1.388","1.392","1.392","1.388","14.27149166","19.84799999072"
"2022-02-04 21:45","1.386","1.386","1.386","1.386","0.6772","0.9385992"
"2022-02-04 21:50","1.388","1.388","1.388","1.388","25.8035","35.815258"
"2022-02-04 21:55","1.388","1.388","1.388","1.388","0","0"
"2022-02-04 22:00","1.388","1.388","1.388","1.388","0","0"
"2022-02-04 22:05","1.392","1.392","1.392","1.392","6.9121","9.6216432"
"2022-02-04 22:10","1.392","1.392","1.392","1.392","0","0"
"2022-02-04 22:15","1.395","1.395","1.395","1.395","0.1831","0.2554245"
"2022-02-04 22:20","1.395","1.395","1.395","1.395","0","0"
"2022-02-04 22:25","1.395","1.395","1.395","1.395","0","0"
"2022-02-04 22:30","1.395","1.395","1.395","1.395","0","0"
"2022-02-04 22:35","1.395","1.395","1.395","1.395","0","0"
"2022-02-04 22:40","1.395","1.395","1.395","1.395","0","0"
"2022-02-04 22:45","1.395","1.395","1.395","1.395","0","0"
"2022-02-04 22:50","1.395","1.395","1.395","1.395","0","0"
"2022-02-04 22:55","1.388","1.387","1.388","1.387","7.0289","9.7499605"
"2022-02-04 23:00","1.387","1.387","1.387","1.387","0","0"
"2022-02-04 23:05","1.387","1.387","1.387","1.387","0","0"
"2022-02-04 23:10","1.387","1.387","1.387","1.387","0","0"
"2022-02-04 23:15","1.387","1.387","1.387","1.387","0","0"
"2022-02-04 23:20","1.387","1.387","1.387","1.387","0","0"
"2022-02-04 23:25","1.387","1.387","1.387","1.387","0","0"
"2022-02-04 23:30","1.389","1.389","1.389","1.389","0.175","0.243075"
"2022-02-04 23:35","1.389","1.389","1.389","1.389","0","0"
"2022-02-04 23:40","1.394","1.394","1.394","1.394","3.9552","5.5135488"
"2022-02-04 23:45","1.394","1.391","1.394","1.391","42.9802","59.8494493"
"2022-02-04 23:50","1.389","1.389","1.389","1.389","23.9728","33.2982192"
"2022-02-04 23:55","1.395","1.395","1.395","1.395","5.7272","7.989444"
"2022-02-05 00:00","1.395","1.395","1.395","1.395","2.3691","3.3048945"
"2022-02-05 00:05","1.395","1.395","1.395","1.395","0","0"
"2022-02-05 00:10","1.394","1.394","1.394","1.394","0.437","0.609178"
"2022-02-05 00:15","1.392","1.392","1.392","1.392","3.9544","5.5045248"
"2022-02-05 00:20","1.389","1.388","1.389","1.388","1.8538","2.574034"
"2022-02-05 00:25","1.388","1.387","1.388","1.387","18.4685","25.6302695"
"2022-02-05 00:30","1.391","1.391","1.391","1.391","1.0714","1.4903174"
"2022-02-05 00:35","1.395","1.396","1.396","1.395","7.7916","10.8721709"
"2022-02-05 00:40","1.396","1.396","1.396","1.396","0","0"
"2022-02-05 00:45","1.395","1.397","1.397","1.395","5.1186","7.143967"
"2022-02-05 00:50","1.396","1.396","1.396","1.396","8.0127","11.1857292"
"2022-02-05 00:55","1.397","1.399","1.399","1.397","26.0011","36.3423301"
"2022-02-05 01:00","1.399","1.4","1.4","1.399","13.3938","18.7439321"
"2022-02-05 01:05","1.4","1.4","1.4","1.4","0.1983","0.27762"
"2022-02-05 01:10","1.4","1.4","1.4","1.4","4.263","5.9682"
"2022-02-05 01:15","1.401","1.401","1.401","1.401","1.3053","1.8287253"
"2022-02-05 01:20","1.401","1.401","1.401","1.401","0","0"
"2022-02-05 01:25","1.401","1.401","1.401","1.401","0","0"
"2022-02-05 01:30","1.401","1.402","1.402","1.401","45.2569","63.4501737"
"2022-02-05 01:35","1.402","1.403","1.403","1.402","13.9468","19.5539544"
"2022-02-05 01:40","1.403","1.403","1.403","1.403","0.6835","0.9589505"
"2022-02-05 01:45","1.402","1.402","1.402","1.402","4.6202","6.4775204"
"2022-02-05 01:50","1.402","1.402","1.402","1.402","0.7568","1.0610336"
"2022-02-05 01:55","1.402","1.402","1.402","1.402","0","0"
"2022-02-05 02:00","1.404","1.406","1.41","1.404","40.1498","56.571817"
"2022-02-05 02:05","1.406","1.41","1.41","1.406","4.6006","6.4840868"
"2022-02-05 02:10","1.411","1.411","1.411","1.411","4.5655","6.4419205"
"2022-02-05 02:15","1.409","1.409","1.409","1.409","8.4279","11.8749111"
"2022-02-05 02:20","1.412","1.412","1.412","1.412","0.1306","0.1844072"
"2022-02-05 02:25","1.412","1.412","1.412","1.412","0","0"
"2022-02-05 02:30","1.412","1.412","1.412","1.412","3.8319","5.4106428"
"2022-02-05 02:35","1.413","1.413","1.413","1.413","1.3054","1.8445302"
"2022-02-05 02:40","1.413","1.413","1.413","1.413","0","0"
"2022-02-05 02:45","1.414","1.414","1.414","1.414","1.9371","2.7390594"
"2022-02-05 02:50","1.414","1.414","1.414","1.414","0","0"
