"time","open","close","high","low","volume","turnover"
"2023-11-01 09:00","6.2","6.245","6.349","6.15","2870.002","18004.4046748"
"2023-11-01 09:05","6.244","6.173","6.244","6.157","1219.1222","7562.6260359"
"2023-11-01 09:10","6.173","6.21","6.21","6.165","882.7271","5455.6791327"
"2023-11-01 09:15","6.21","6.173","6.233","6.159","913.919","5637.7612782"
"2023-11-01 09:20","6.175","6.163","6.199","6.152","204.4994","1262.0035169"
"2023-11-01 09:25","6.153","6.162","6.163","6.106","927.1073","5695.6473312"
"2023-11-01 09:30","6.162","6.129","6.162","6.101","139.3671","856.0954563"
"2023-11-01 09:35","6.129","6.131","6.147","6.105","310.2489","1895.1158827"
"2023-11-01 09:40","6.147","6.135","6.148","6.131","89.8624","552.33004"
"2023-11-01 09:45","6.129","6.105","6.148","6.105","253.4464","1549.0540839"
"2023-11-01 09:50","6.101","6.12","6.124","6.101","74.8307","457.9732011"
"2023-11-01 09:55","6.117","6.162","6.162","6.117","212.82","1308.1273296"
"2023-11-01 10:00","6.162","6.151","6.162","6.098","138.4403","846.9183505"
"2023-11-01 10:05","6.115","6.096","6.127","6.096","32.0506","195.7908367"
"2023-11-01 10:10","6.117","6.131","6.142","6.096","100.9039","617.1220165"
"2023-11-01 10:15","6.107","6.108","6.132","6.099","104.6644","639.0297645"
"2023-11-01 10:20","6.098","6.04","6.098","6.04","622.1078","3779.0684316"
"2023-11-01 10:25","6.045","6.136","6.136","6.04","303.7448","1850.2158503"
"2023-11-01 10:30","6.111","6.101","6.137","6.101","459.9402","2806.4565467"
"2023-11-01 10:35","6.121","6.111","6.147","6.096","251.5144","1534.1165601"
"2023-11-01 10:40","6.11","6.096","6.123","6.096","24.2853","148.1847145"
"2023-11-01 10:45","6.096","6.031","6.096","6.031","202.1924","1228.9744881"
"2023-11-01 10:50","6.029","6","6.074","6","130.8991","787.0876751"
"2023-11-01 10:55","6.013","6.017","6.017","5.964","117.3544","704.9358068"
"2023-11-01 11:00","6","5.995","6.031","5.964","47.7805","286.5972431"
"2023-11-01 11:05","5.996","5.963","6.019","5.963","114.3734","685.1241075"
"2023-11-01 11:10","5.963","6.008","6.039","5.963","33.3367","200.0302607"
"2023-11-01 11:15","6.039","6.073","6.142","6.023","235.1601","1438.5940208"
"2023-11-01 11:20","6.067","6.111","6.111","6.067","15.2169","92.5485776"
"2023-11-01 11:25","6.111","6.111","6.111","6.111","0","0"
"2023-11-01 11:30","6.112","6.111","6.112","6.111","17.0976","104.4916042"
"2023-11-01 11:35","6.111","6.139","6.139","6.111","5.3138","32.5720823"
"2023-11-01 11:40","6.112","6.109","6.112","6.109","4.7224","28.8623329"
"2023-11-01 11:45","6.103","6.081","6.103","6.081","10.107","61.5290366"
"2023-11-01 11:50","6.096","6.08","6.096","6.079","10.5919","64.3998641"
"2023-11-01 11:55","6.074","6.074","6.074","6.074","0.2487","1.5106038"
"2023-11-01 12:00","6.067","6.049","6.074","6.032","61.3076","370.4576963"
"2023-11-01 12:05","6.091","6.091","6.091","6.091","5.2177","31.7810107"
