"time","open","close","high","low","volume","turnover"
"2022-05-05 21:25","1.237","1.225","1.237","1.225","4316.08353144","5315.53989479128"
"2022-05-05 21:30","1.23","1.234","1.234","1.227","964.5721","1186.8594721"
"2022-05-05 21:35","1.232","1.23","1.233","1.23","824.7609","1016.1774288"
"2022-05-05 21:40","1.23","1.23","1.23","1.23","0","0"
"2022-05-05 21:45","1.23","1.221","1.23","1.217","975.97126677","1195.89894019356"
"2022-05-05 21:50","1.217","1.222","1.222","1.217","343.78340114","419.60518069308"
"2022-05-05 21:55","1.216","1.213","1.217","1.209","944.4278","1145.7925029"
"2022-05-05 22:00","1.216","1.216","1.216","1.216","10.1394","12.3295104"
"2022-05-05 22:05","1.216","1.219","1.219","1.214","1425.23195992","1731.85508497803"
"2022-05-05 22:10","1.216","1.216","1.216","1.216","459.9294","559.2741504"
"2022-05-05 22:15","1.22","1.215","1.221","1.215","222.91417489","271.67111429135"
"2022-05-05 22:20","1.212","1.213","1.213","1.206","1660.6349","2007.1944026"
"2022-05-05 22:25","1.209","1.213","1.213","1.209","1027","1245.431"
"2022-05-05 22:30","1.214","1.217","1.217","1.214","35.8655","43.5773146"
"2022-05-05 22:35","1.217","1.208","1.217","1.208","408.8303","494.0858778"
"2022-05-05 22:40","1.206","1.209","1.215","1.206","538.2639","651.1834987"
"2022-05-05 22:45","1.212","1.214","1.214","1.211","1310.80938319","1589.79409879266"
"2022-05-05 22:50","1.211","1.206","1.211","1.204","1263.3797","1528.6353717"
"2022-05-05 22:55","1.203","1.193","1.203","1.193","1978.3233","2374.0155904"
"2022-05-05 23:00","1.2","1.199","1.2","1.192","2904.4184","3468.5989607"
"2022-05-05 23:05","1.2","1.209","1.212","1.2","2002.1755","2416.793202"
"2022-05-05 23:10","1.211","1.218","1.218","1.21","2306.7567","2801.507079"
"2022-05-05 23:15","1.219","1.214","1.224","1.21","2290.29076405","2781.6772514972"
"2022-05-05 23:20","1.216","1.226","1.226","1.214","2674.75383595","3256.2246888028"
"2022-05-05 23:25","1.225","1.218","1.225","1.218","504.8239","616.7683295"
"2022-05-05 23:30","1.223","1.221","1.223","1.221","122.10475992","149.16783618216"
"2022-05-05 23:35","1.222","1.221","1.226","1.219","3258.3578","3982.1041505"
"2022-05-05 23:40","1.221","1.231","1.231","1.221","2463.4442","3014.5274245"
"2022-05-05 23:45","1.225","1.225","1.225","1.225","1192","1460.2"
"2022-05-05 23:50","1.223","1.225","1.225","1.222","102.2363","125.1652243"
"2022-05-05 23:55","1.224","1.23","1.23","1.224","142.65434248","175.12170399552"
"2022-05-06 00:00","1.225","1.227","1.227","1.224","1102.33742493","1350.51722588911"
"2022-05-06 00:05","1.222","1.221","1.222","1.221","37.9033","46.2937961"
"2022-05-06 00:10","1.22","1.209","1.22","1.209","229.7471","279.1961131"
"2022-05-06 00:15","1.21","1.209","1.214","1.209","1524.3653","1843.2226371"
"2022-05-06 00:20","1.208","1.206","1.21","1.206","419.1722","506.8516774"
"2022-05-06 00:25","1.205","1.196","1.205","1.196","2777.8963","3325.5217173"
"2022-05-06 00:30","1.194","1.185","1.196","1.185","631.4084","754.0347736"
"2022-05-06 00:35","1.187","1.186","1.192","1.186","536.342","638.6550496"
"2022-05-06 00:40","1.185","1.197","1.197","1.183","3116.538345","3713.134579095"
"2022-05-06 00:45","1.187","1.182","1.187","1.182","91.3689","108.2165177"
"2022-05-06 00:50","1.19","1.189","1.191","1.189","24.9551","29.7009162"
"2022-05-06 00:55","1.182","1.192","1.195","1.171","8337.6709","9831.3852358"
"2022-05-06 01:00","1.197","1.193","1.197","1.193","803.4363","958.9336007"
"2022-05-06 01:05","1.193","1.193","1.193","1.193","0","0"
"2022-05-06 01:10","1.189","1.183","1.189","1.183","957.6072","1137.4312702"
"2022-05-06 01:15","1.186","1.188","1.194","1.186","2725.2405","3235.716828"
"2022-05-06 01:20","1.186","1.185","1.186","1.183","416.3974","493.3969537"
"2022-05-06 01:25","1.185","1.185","1.185","1.185","0","0"
"2022-05-06 01:30","1.191","1.193","1.193","1.191","48.8932","58.2813346"
"2022-05-06 01:35","1.191","1.19","1.191","1.189","2382.03196213","2835.27520549683"
"2022-05-06 01:40","1.194","1.194","1.194","1.194","14.2877","17.0595138"
"2022-05-06 01:45","1.19","1.193","1.193","1.19","1321.8218","1573.045942"
"2022-05-06 01:50","1.186","1.179","1.186","1.179","1161.6908","1370.6453341"
"2022-05-06 01:55","1.187","1.191","1.193","1.186","892.5095","1062.3894131"
"2022-05-06 02:00","1.191","1.188","1.195","1.187","748.77941741","890.49615548677"
"2022-05-06 02:05","1.191","1.191","1.191","1.191","419.8152","499.9999032"
"2022-05-06 02:10","1.193","1.197","1.199","1.193","697.1894","833.338981"
"2022-05-06 02:15","1.198","1.211","1.211","1.198","992.68659735","1192.92386659085"
"2022-05-06 02:20","1.204","1.214","1.214","1.203","337.7595","408.3146783"
"2022-05-06 02:25","1.215","1.218","1.218","1.215","1821.57097413","2218.41872099034"
"2022-05-06 02:30","1.216","1.209","1.217","1.209","3035.9126","3681.1499504"
"2022-05-06 02:35","1.209","1.203","1.209","1.203","7677.6512","9236.3506823"
"2022-05-06 02:40","1.202","1.208","1.208","1.199","134.3704","161.2632669"
"2022-05-06 02:45","1.208","1.202","1.208","1.202","91.0642","109.5231386"
"2022-05-06 02:50","1.202","1.199","1.202","1.199","83.6361","100.4362641"
"2022-05-06 02:55","1.199","1.196","1.199","1.194","3481.4302","4167.3546792"
"2022-05-06 03:00","1.202","1.198","1.203","1.196","1106.9157","1324.6976356"
"2022-05-06 03:05","1.205","1.202","1.207","1.202","742.1745","892.8633804"
"2022-05-06 03:10","1.199","1.196","1.199","1.196","4007.30591939","4792.81022979044"
"2022-05-06 03:15","1.194","1.196","1.196","1.194","961.4576","1148.850971"
"2022-05-06 03:20","1.195","1.195","1.195","1.195","115.7865","138.3648675"
"2022-05-06 03:25","1.193","1.189","1.193","1.189","80.6551","96.0620159"
"2022-05-06 03:30","1.191","1.194","1.194","1.191","862.0262","1026.7234554"
"2022-05-06 03:35","1.195","1.195","1.195","1.195","24.4865","29.2613675"
"2022-05-06 03:40","1.19","1.188","1.19","1.188","7.0636","8.4042524"
