"time","open","close","high","low","volume","turnover"
"2023-11-26 22:05","5.7662","5.7466","5.7662","5.73","1480.98","8494.976158"
"2023-11-26 22:10","5.73","5.7267","5.74","5.7267","1242.18","7124.837667"
"2023-11-26 22:15","5.7267","5.6333","5.7267","5.6333","3024.73","17178.957856"
"2023-11-26 22:20","5.6318","5.4881","5.6673","5.482","6404.66","35585.205311"
"2023-11-26 22:25","5.5032","5.4132","5.5038","5.4132","4828.24","26311.624677"
"2023-11-26 22:30","5.436","5.4411","5.4481","5.414","1198.81","6518.941595"
"2023-11-26 22:35","5.4411","5.4294","5.4525","5.4221","516.48","2810.44262"
"2023-11-26 22:40","5.4215","5.4926","5.4926","5.4191","1407.3","7664.59526"
"2023-11-26 22:45","5.4929","5.4689","5.4949","5.459","655.78","3596.899599"
"2023-11-26 22:50","5.4898","5.4766","5.4898","5.4229","549.94","2996.022395"
"2023-11-26 22:55","5.4758","5.4303","5.4758","5.4303","249.06","1358.833157"
"2023-11-26 23:00","5.4304","5.4","5.4437","5.4","1064.6","5768.280357"
"2023-11-26 23:05","5.4111","5.4014","5.4159","5.3901","1768.32","9552.733726"
"2023-11-26 23:10","5.39","5.3337","5.402","5.3152","16059.17","86017.31108"
"2023-11-26 23:15","5.3153","5.1965","5.3287","5.1965","9349.73","49242.944278"
"2023-11-26 23:20","5.22","5.0969","5.2286","5.0937","5471.02","28228.858465"
"2023-11-26 23:25","5.0934","5.1554","5.2067","5.0622","5507.7","28277.30148"
"2023-11-26 23:30","5.1552","5.0768","5.1552","5.0327","7704.65","39256.737426"
"2023-11-26 23:35","5.0646","4.9783","5.0799","4.89","14017.09","69712.762248"
"2023-11-26 23:40","4.9784","5.0663","5.0663","4.9783","3269.18","16405.937853"
"2023-11-26 23:45","5.0663","4.9746","5.1498","4.9635","18172.26","91694.025465"
"2023-11-26 23:50","4.9922","4.9292","4.9964","4.85","15857.25","77880.700994"
"2023-11-26 23:55","4.9254","4.8851","4.9382","4.856","6648.87","32528.463347"
"2023-11-27 00:00","4.8851","5.0175","5.0175","4.8851","2307.96","11450.159586"
"2023-11-27 00:05","5.0175","5.0045","5.0823","4.9884","6575.84","33177.074392"
