"time","open","close","high","low","volume","turnover"
"2022-01-05 21:05","1.118","1.117","1.118","1.117","59.2384","66.1703901"
"2022-01-05 21:10","1.117","1.117","1.119","1.114","155.4998","173.4589036"
"2022-01-05 21:15","1.115","1.115","1.119","1.114","226.45028686","252.88315319634"
"2022-01-05 21:20","1.116","1.116","1.116","1.116","1.0063","1.1230308"
"2022-01-05 21:25","1.116","1.114","1.118","1.114","176.1372","196.4177759"
"2022-01-05 21:30","1.113","1.111","1.115","1.11","275.6602","306.409409"
"2022-01-05 21:35","1.115","1.115","1.115","1.115","6.0337","6.7275755"
"2022-01-05 21:40","1.115","1.116","1.116","1.115","6.8575","7.6470178"
"2022-01-05 21:45","1.115","1.115","1.115","1.115","0.8837","0.9853255"
"2022-01-05 21:50","1.115","1.116","1.116","1.115","7.6107","8.4934403"
"2022-01-05 21:55","1.115","1.11","1.115","1.105","479.1871","530.7001947"
"2022-01-05 22:00","1.11","1.079","1.11","1.068","6613.3912","7140.9442569"
"2022-01-05 22:05","1.08","1.087","1.087","1.079","466.65766889","505.09640678343"
"2022-01-05 22:10","1.085","1.074","1.086","1.074","757.8742","816.9354531"
"2022-01-05 22:15","1.074","1.088","1.088","1.073","911.2119","984.41055396889"
"2022-01-05 22:20","1.085","1.064","1.085","1.05","7406.51250005","7855.4224067534"
"2022-01-05 22:25","1.067","1.067","1.067","1.067","30.7867","32.8494089"
"2022-01-05 22:30","1.067","0.989","1.067","0.95","23455.5808","23433.3062834"
"2022-01-05 22:35","0.989","1.035","1.035","0.989","5286.14464516","5337.88213669544"
"2022-01-05 22:40","1.035","1.04","1.04","1.035","681.02405442","706.6809485968"
"2022-01-05 22:45","1.04","1.04","1.04","1.036","56.75500116","59.0124023064"
"2022-01-05 22:50","1.04","1.041","1.041","1.037","275.21205446","285.95952054844"
"2022-01-05 22:55","1.039","1.042","1.043","1.039","208.5468","217.15532762008"
"2022-01-05 23:00","1.042","1.037","1.042","1.037","246.51332341","256.77989699322"
"2022-01-05 23:05","1.042","1.029","1.042","1.029","584.87077659","604.94967712255"
"2022-01-05 23:10","1.033","1.031","1.034","1.026","312.1762","321.09688582595"
"2022-01-05 23:15","1.032","1.043","1.043","1.03","728.56958996","755.34897102828"
"2022-01-05 23:20","1.044","1.052","1.059","1.044","3606.0617","3804.3560996"
"2022-01-05 23:25","1.055","1.061","1.064","1.055","623.29944288","660.62269459568"
"2022-01-05 23:30","1.063","1.061","1.063","1.059","125.6016","133.3039444"
"2022-01-05 23:35","1.06","1.059","1.063","1.059","43.2051","45.8028478"
"2022-01-05 23:40","1.058","1.067","1.067","1.056","992.45069709","1056.38825459503"
"2022-01-05 23:45","1.067","1.151","1.258","1.065","40744.95723397","47103.63214709925"
"2022-01-05 23:50","1.15","1.142","1.153","1.142","405.9548","465.5344537"
"2022-01-05 23:55","1.142","1.144","1.144","1.141","156.6884","179.0198876"
"2022-01-06 00:00","1.144","1.142","1.146","1.141","145.64120157","166.48753219294"
"2022-01-06 00:05","1.141","1.14","1.142","1.14","56.9841","65.0124248"
"2022-01-06 00:10","1.141","1.14","1.141","1.14","37.4779","42.724921"
"2022-01-06 00:15","1.14","1.14","1.14","1.14","18.7509","21.376026"
"2022-01-06 00:20","1.14","1.14","1.14","1.14","0.7195","0.82023"
"2022-01-06 00:25","1.14","1.141","1.142","1.138","221.5026","252.3303366"
"2022-01-06 00:30","1.141","1.137","1.141","1.137","56.5555","64.4570321"
"2022-01-06 00:35","1.14","1.137","1.14","1.137","51.3897","58.5688112"
"2022-01-06 00:40","1.137","1.137","1.137","1.137","9.078","10.321686"
"2022-01-06 00:45","1.138","1.138","1.138","1.137","110.2668","125.4035708"
"2022-01-06 00:50","1.138","1.139","1.139","1.138","36.1365","41.149007"
"2022-01-06 00:55","1.138","1.133","1.138","1.13","4602.2318","5234.3208091"
"2022-01-06 01:00","1.131","1.131","1.132","1.131","24.5203","27.7333536"
"2022-01-06 01:05","1.13","1.129","1.13","1.129","34.9308","39.4409729"
