"time","open","close","high","low","volume","turnover"
"2021-12-06 20:55","0.4916","0.4911","0.4916","0.4911","45.9364","22.56718809"
"2021-12-06 21:00","0.4907","0.4925","0.53","0.4907","30680.47471689","15412.463710779367"
"2021-12-06 21:05","0.4925","0.4879","0.493","0.4784","24992.4372","12182.71044742"
"2021-12-06 21:10","0.488","0.4881","0.49","0.488","861.2088","420.52228887"
"2021-12-06 21:15","0.4881","0.4881","0.4881","0.4881","0","0"
"2021-12-06 21:20","0.4881","0.4883","0.491","0.488","220.8681","108.13644347"
"2021-12-06 21:25","0.4883","0.4896","0.4914","0.4841","1310.4218","641.17230306"
"2021-12-06 21:30","0.49","0.4925","0.4925","0.49","785.7888","386.4602749"
"2021-12-06 21:35","0.493","0.4917","0.493","0.4917","959.9672","473.24757548"
"2021-12-06 21:40","0.4934","0.4974","0.4974","0.4934","1039.0732","516.1890903"
"2021-12-06 21:45","0.4959","0.503","0.503","0.4957","2310.3529","1151.43866636"
"2021-12-06 21:50","0.5031","0.502","0.5036","0.502","1002.0246","504.1323341"
"2021-12-06 21:55","0.5017","0.4969","0.5017","0.4969","1228.7659","611.54734798"
"2021-12-06 22:00","0.4968","0.4968","0.4968","0.4968","22.1417","10.99999656"
"2021-12-06 22:05","0.4983","0.4996","0.4996","0.4983","61.5157","30.6836213"
"2021-12-06 22:10","0.4995","0.5008","0.5009","0.4995","286.9552","143.5944895"
"2021-12-06 22:15","0.4993","0.4972","0.4993","0.4972","1521.7861","757.80108465"
"2021-12-06 22:20","0.4969","0.4983","0.4983","0.4967","19.6716","9.77838428"
"2021-12-06 22:25","0.4979","0.4952","0.4979","0.4937","360.7138","178.4761098"
"2021-12-06 22:30","0.4937","0.4933","0.4955","0.4933","196.9594","97.27766161"
"2021-12-06 22:35","0.493","0.4989","0.5005","0.4922","1956.476","968.01056168"
"2021-12-06 22:40","0.5007","0.5191","0.5262","0.4999","11602.17741001","5972.429113987262"
"2021-12-06 22:45","0.5191","0.5207","0.5299","0.5171","8662.65025509","4543.554168369228"
"2021-12-06 22:50","0.5212","0.5231","0.537","0.5212","17486.7281089","9221.264460167"
"2021-12-06 22:55","0.5234","0.5282","0.5282","0.503","22324.94023371","11505.139950475942"
"2021-12-06 23:00","0.5282","0.5551","0.56","0.5279","45213.5194","24811.0988554"
"2021-12-06 23:05","0.5551","0.5265","0.5624","0.5265","24042.6949","13105.71895127"
"2021-12-06 23:10","0.5263","0.5213","0.5278","0.5187","3145.5611","1644.90964905"
"2021-12-06 23:15","0.5233","0.5209","0.5242","0.5209","5174.065","2697.13754285"
"2021-12-06 23:20","0.5209","0.5201","0.521","0.5198","364.4593","189.54249905"
"2021-12-06 23:25","0.5197","0.517","0.5206","0.5137","4146.0615","2139.25122175"
"2021-12-06 23:30","0.517","0.5173","0.5188","0.5166","298.6425","154.59921932"
