"time","open","close","high","low","volume","turnover"
"2023-04-03 08:00","0.38","0.4132","0.4132","0.38","76.5847","31.61159804"
"2023-04-03 08:05","0.4132","0.4132","0.4132","0.4132","0","0"
"2023-04-03 08:10","0.55","5.9997","12","0.45","8823.9933","14892.26497696"
"2023-04-03 08:15","5.9997","2.8205","5.9997","2.0005","4546.678","14027.02503497"
"2023-04-03 08:20","3.0799","0.4499","3.08","0.4211","44226.0094","33535.11509568"
"2023-04-03 08:25","0.432","0.4166","0.4598","0.4157","53953.0062","22809.12503484"
"2023-04-03 08:30","0.4166","0.4091","0.4194","0.3871","117989.1085","48357.65272612"
"2023-04-03 08:35","0.41","0.4166","0.42","0.4093","46129.2343","19133.70591196"
"2023-04-03 08:40","0.4166","0.4119","0.4166","0.4099","45664.9249","18824.01940568"
"2023-04-03 08:45","0.413","0.4142","0.4142","0.4112","16892.6628","6961.72600781"
"2023-04-03 08:50","0.4143","0.4152","0.4152","0.4122","1889.4296","782.14809002"
"2023-04-03 08:55","0.4152","0.4131","0.4162","0.4115","9999.1702","4128.40956232"
"2023-04-03 09:00","0.4155","0.4192","0.4222","0.4123","31663.8072","13232.90324303"
"2023-04-03 09:05","0.4192","0.4204","0.4209","0.4165","23525.1257","9873.70645369"
"2023-04-03 09:10","0.4201","0.423","0.428","0.4201","34086.3839","14360.26780527"
"2023-04-03 09:15","0.4219","0.4206","0.422","0.42","16621.7077","6996.73244914"
"2023-04-03 09:20","0.4201","0.4198","0.4217","0.4173","20966.5851","8803.2520944"
"2023-04-03 09:25","0.4198","0.4145","0.4217","0.3779","37979.1079","15721.94361095"
"2023-04-03 09:30","0.4149","0.4186","0.4186","0.4149","14716.341","6122.15131711"
"2023-04-03 09:35","0.4185","0.4183","0.4191","0.4162","1610.6782","672.92720497"
"2023-04-03 09:40","0.4166","0.4181","0.4181","0.4165","4445.7014","1856.44099809"
"2023-04-03 09:45","0.418","0.4201","0.4227","0.4164","13287.2577","5570.74662447"
"2023-04-03 09:50","0.4197","0.4181","0.4201","0.4174","2747.0024","1151.88120697"
"2023-04-03 09:55","0.4196","0.4201","0.4201","0.418","4722.2316","1981.69904035"
"2023-04-03 10:00","0.4201","0.4218","0.4218","0.4201","7371.6732","3102.84473409"
"2023-04-03 10:05","0.4218","0.4225","0.4225","0.4211","4951.6934","2088.60346749"
"2023-04-03 10:10","0.4225","0.4205","0.424","0.4186","12290.3889","5182.1140461"
"2023-04-03 10:15","0.4205","0.4197","0.4207","0.4169","4551.6274","1904.76676344"
"2023-04-03 10:20","0.4197","0.4199","0.4199","0.4171","3854.7208","1613.03529769"
"2023-04-03 10:25","0.4199","0.4186","0.4212","0.4185","6216.5898","2605.4895128"
"2023-04-03 10:30","0.421","0.422","0.4229","0.4191","4694.7022","1982.36728536"
"2023-04-03 10:35","0.4228","0.422","0.4236","0.422","8718.4681","3687.66919514"
"2023-04-03 10:40","0.422","0.4191","0.4223","0.419","5529.436","2325.84533641"
"2023-04-03 10:45","0.4201","0.421","0.4212","0.4191","2178.7836","915.68688113"
"2023-04-03 10:50","0.4208","0.4226","0.4233","0.4195","32396.4583","13668.66929456"
"2023-04-03 10:55","0.4221","0.422","0.4249","0.4219","7327.9977","3099.42544016"
"2023-04-03 11:00","0.4225","0.4223","0.4243","0.4219","2639.6976","1114.61849535"
"2023-04-03 11:05","0.4219","0.42","0.4247","0.42","4043.0125","1705.60796541"
"2023-04-03 11:10","0.4205","0.4201","0.4205","0.4178","8360.228","3502.85382353"
"2023-04-03 11:15","0.4181","0.4181","0.4201","0.418","1040.1902","435.23538004"
"2023-04-03 11:20","0.4187","0.4158","0.4188","0.414","14336.1739","5966.32711255"
"2023-04-03 11:25","0.4178","0.4174","0.4178","0.4132","6971.3316","2890.82455176"
"2023-04-03 11:30","0.4174","0.4152","0.4174","0.4152","778.9236","324.63500084"
"2023-04-03 11:35","0.4153","0.417","0.417","0.4153","2814.7145","1173.32296203"
"2023-04-03 11:40","0.4169","0.4168","0.417","0.4154","630.8314","262.81065116"
"2023-04-03 11:45","0.4155","0.4151","0.4168","0.4151","3735.6061","1552.14688773"
"2023-04-03 11:50","0.4153","0.4168","0.4168","0.4151","1806.5915","752.2206583"
"2023-04-03 11:55","0.4167","0.4163","0.4179","0.4133","12337.1351","5133.74941883"
"2023-04-03 12:00","0.4169","0.4163","0.4169","0.4163","395.3891","164.74823949"
"2023-04-03 12:05","0.4162","0.4163","0.4163","0.4145","2043.8441","849.57634684"
"2023-04-03 12:10","0.4143","0.4142","0.4163","0.4134","4582.6717","1898.43491679"
"2023-04-03 12:15","0.4142","0.4146","0.4165","0.4141","1175.0965","488.18033824"
"2023-04-03 12:20","0.4145","0.4145","0.4146","0.4145","1785.7926","740.29126935"
"2023-04-03 12:25","0.4145","0.416","0.416","0.4145","220.3768","91.50404214"
"2023-04-03 12:30","0.4146","0.4158","0.4158","0.4145","531.3452","220.29891074"
"2023-04-03 12:35","0.4146","0.4124","0.4158","0.4124","2102.3657","869.88906998"
"2023-04-03 12:40","0.4136","0.412","0.4136","0.4117","4751.1043","1960.43757054"
"2023-04-03 12:45","0.412","0.4119","0.4123","0.4111","1322.0962","544.63356425"
"2023-04-03 12:50","0.4114","0.4127","0.4142","0.4107","6737.4477","2775.1916041"
"2023-04-03 12:55","0.4122","0.4143","0.4143","0.4109","8462.0222","3487.60405155"
"2023-04-03 13:00","0.4147","0.4121","0.4147","0.4119","885.7791","365.37734314"
"2023-04-03 13:05","0.4136","0.4128","0.415","0.4122","943.6575","389.38797082"
"2023-04-03 13:10","0.4148","0.4147","0.4148","0.4128","32.4941","13.46282878"
"2023-04-03 13:15","0.4129","0.4116","0.4129","0.41","19575.0636","8043.8543183"
"2023-04-03 13:20","0.4109","0.4105","0.4115","0.4105","3563.2863","1464.16281881"
"2023-04-03 13:25","0.4112","0.4113","0.4115","0.4106","1301.028","535.11367376"
"2023-04-03 13:30","0.4114","0.4114","0.4144","0.4109","2187.3411","902.57876145"
"2023-04-03 13:35","0.4118","0.4125","0.4142","0.4118","1387.8554","572.07362779"
"2023-04-03 13:40","0.412","0.4125","0.4125","0.412","1017.2935","419.43794086"
"2023-04-03 13:45","0.414","0.4131","0.4143","0.4123","1064.9277","439.92509814"
"2023-04-03 13:50","0.4136","0.4149","0.4149","0.4136","458.4413","189.88893741"
"2023-04-03 13:55","0.4149","0.4156","0.4165","0.4138","1116.6373","463.14965534"
"2023-04-03 14:00","0.4156","0.4158","0.4158","0.4156","1054.1818","438.22852967"
"2023-04-03 14:05","0.4158","0.4133","0.4159","0.4133","2103.8895","870.46053538"
"2023-04-03 14:10","0.4136","0.4132","0.4139","0.4132","812.5804","336.01064812"
"2023-04-03 14:15","0.4132","0.4135","0.4151","0.413","1128.2726","466.36826404"
"2023-04-03 14:20","0.4135","0.4131","0.4152","0.4131","197.6874","81.77409423"
"2023-04-03 14:25","0.4142","0.4157","0.4157","0.4131","2845.5677","1177.24954353"
"2023-04-03 14:30","0.4156","0.4156","0.4156","0.4156","522.419","217.1173364"
"2023-04-03 14:35","0.4153","0.4155","0.4157","0.4135","631.9385","262.03519465"
"2023-04-03 14:40","0.415","0.413","0.4152","0.4126","3401.5358","1407.70672975"
"2023-04-03 14:45","0.4131","0.413","0.4131","0.413","322.4069","133.15949729"
"2023-04-03 14:50","0.4127","0.4146","0.4146","0.412","2130.9785","881.87238186"
"2023-04-03 14:55","0.4142","0.4142","0.4142","0.4142","913.2974","378.28778308"
"2023-04-03 15:00","0.4121","0.4111","0.4121","0.4111","1080.8408","444.78126144"
