"time","open","close","high","low","volume","turnover"
"2022-01-05 21:10","40.692","40.78","40.781","40.28","68.85543893","2787.80116909471"
"2022-01-05 21:15","40.596","40.292","40.811","40.292","109.26407268","4430.94238144756"
"2022-01-05 21:20","40.298","40.318","40.589","40.02","321.3454463","12906.70448421338"
"2022-01-05 21:25","40.318","40.111","40.401","39.803","493.42180325","19904.65032136113"
"2022-01-05 21:30","40.111","39.74","40.227","39.74","99.9301082","3994.0839506614"
"2022-01-05 21:35","39.7","39.696","39.799","39.454","118.67250269","4698.70552725662"
"2022-01-05 21:40","39.696","40.067","40.086","39.696","80.42489928","3214.11322022384"
"2022-01-05 21:45","40.098","40.078","40.469","40.067","387.1268","15606.70309003179"
"2022-01-05 21:50","40.2","39.69","40.259","39.524","695.60112835","27585.83600464265"
"2022-01-05 21:55","39.69","39.514","39.75","39.514","95.2340088","3772.2314463"
"2022-01-05 22:00","39.663","39.594","39.875","39.385","111.68633416","4417.27328154034"
"2022-01-05 22:05","39.575","39.62","39.794","39.484","194.98557109","7734.40762793419"
"2022-01-05 22:10","39.637","38.36","39.637","38.342","1053.2089","40554.3775373"
"2022-01-05 22:15","38.498","38.418","38.798","38.351","53.1581478","2048.13827887094"
"2022-01-05 22:20","38.4","38.015","38.43","38.014","43.375","1656.4349127"
"2022-01-05 22:25","38.095","37.824","38.099","37.824","674.0236","25613.2177228"
"2022-01-05 22:30","37.822","36.905","37.856","36.738","85.99726695","3204.31426729492"
"2022-01-05 22:35","36.73","38.498","38.498","36.715","108.29200673","4093.220881502"
"2022-01-05 22:40","38.5","39.06","39.06","38.5","136.7279","5289.1990487"
"2022-01-05 22:45","39.06","39.213","39.675","39.06","244.21835677","9644.26882493303"
"2022-01-05 22:50","39.212","39.099","39.212","38.916","20.41668772","797.14116206428"
"2022-01-05 22:55","38.905","39.099","39.099","38.754","21.59332528","839.81645750384"
"2022-01-05 23:00","39.099","39.203","39.442","39.061","27.48861764","1077.7926156512"
"2022-01-05 23:05","39.06","38.602","39.06","38.602","621.4286","24052.9149266"
"2022-01-05 23:10","38.738","39.415","39.423","38.6","213.52860928","8339.17026337334"
"2022-01-05 23:15","39.202","39.062","39.224","39","27.87096198","1091.26144685791"
"2022-01-05 23:20","39.2","39.075","39.473","39.075","35.74037048","1404.75552899628"
"2022-01-05 23:25","39.072","39.274","39.455","38.999","169.57892402","6625.11180620478"
"2022-01-05 23:30","39.373","38.917","39.52","38.88","249.9165135","9838.6503710587"
"2022-01-05 23:35","38.917","38.8","38.917","38.572","119.99597319","4638.900323972"
"2022-01-05 23:40","38.8","38.88","38.88","38.778","16.68349844","647.89662424843"
"2022-01-05 23:45","38.876","38.996","38.996","38.673","73.90857599","2870.04565260604"
"2022-01-05 23:50","38.87","38.87","39.041","38.869","55.48328347","2159.90215715947"
"2022-01-05 23:55","38.992","38.58","39.003","38.48","88.1808","3406.0013266"
"2022-01-06 00:00","38.53","38.743","38.8","38.504","165.47387735","6385.25807827273"
"2022-01-06 00:05","38.721","38.808","38.81","38.557","11.0567","428.6384247"
"2022-01-06 00:10","38.771","39.037","39.037","38.504","177.56120439","6904.79661568639"
"2022-01-06 00:15","39.011","38.864","39.172","38.864","91.73020845","3587.68283337935"
"2022-01-06 00:20","38.836","38.601","38.836","38.601","7.7694","300.5662784"
"2022-01-06 00:25","38.601","38.806","38.809","38.6","8.38122015","324.4529355751"
"2022-01-06 00:30","38.608","39.031","39.031","38.608","17.32776845","674.52134502507"
"2022-01-06 00:35","38.965","39.192","39.473","38.965","48.48168651","1905.00778877014"
"2022-01-06 00:40","39.191","38.952","39.191","38.881","34.01697977","1325.54829916298"
"2022-01-06 00:45","38.903","38.777","38.952","38.777","26.31372084","1023.05963035968"
"2022-01-06 00:50","38.8","38.989","38.989","38.8","7.23150696","281.3972898356"
"2022-01-06 00:55","38.96","38.846","39.208","38.811","146.74445482","5734.31157538874"
"2022-01-06 01:00","38.89","38.972","39.012","38.756","47.32971847","1841.43498090318"
"2022-01-06 01:05","38.861","38.81","38.861","38.609","72.89351621","2821.69929869389"
"2022-01-06 01:10","38.809","38.795","38.809","38.617","38.1878049","1478.019737579"
"2022-01-06 01:15","38.799","38.854","38.854","38.728","28.17321149","1091.74050640051"
"2022-01-06 01:20","38.817","38.86","38.864","38.8","12.5583","487.4994942"
"2022-01-06 01:25","38.864","38.601","38.891","38.601","23.59642741","916.59117290231"
"2022-01-06 01:30","38.601","38.581","38.65","38.448","48.25898667","1859.2162153955"
"2022-01-06 01:35","38.458","38.43","38.458","38.302","24.1915","929.9556554"
"2022-01-06 01:40","38.361","38.231","38.361","38.152","70.0215","2675.2881554"
"2022-01-06 01:45","38.231","38.201","38.4","38.201","15.6791","600.3377631"
"2022-01-06 01:50","38.201","37.832","38.201","37.832","21.43894085","815.57729311085"
"2022-01-06 01:55","37.824","37.986","38","37.6","43.5188","1643.5216813"
"2022-01-06 02:00","37.96","37.905","38","37.6","140.34991703","5294.849203277"
"2022-01-06 02:05","37.905","37.997","38","37.905","8.43188478","320.1113768715"
"2022-01-06 02:10","37.92","37.997","37.997","37.92","34.1927","1296.9181884"
"2022-01-06 02:15","37.934","37.939","37.99","37.724","72.96579638","2765.41313803396"
"2022-01-06 02:20","37.989","38","38","37.769","22.29","846.6461312"
"2022-01-06 02:25","37.907","37.581","37.984","37.581","14.9334","563.5993802"
"2022-01-06 02:30","37.582","37.767","37.767","37.581","8.57643455","323.55228634985"
"2022-01-06 02:35","37.768","37.788","38","37.724","138.802","5273.1762973"
"2022-01-06 02:40","37.724","37.78","37.804","37.69","17.3017835","653.754964134"
"2022-01-06 02:45","37.804","37.59","37.805","37.59","29.18282852","1100.7698146986"
"2022-01-06 02:50","37.67","37.64","37.805","37.544","37.42794483","1410.28992606823"
"2022-01-06 02:55","37.64","37.299","37.689","37.293","44.36184375","1664.28012053305"
"2022-01-06 03:00","37.339","37.539","37.543","37.321","27.2229632","1017.64498819537"
"2022-01-06 03:05","37.539","37.123","37.539","37","475.51643693","17618.29127831527"
"2022-01-06 03:10","37.26","37.359","37.359","37.26","0.99508816","37.16499996944"
"2022-01-06 03:15","37.349","37.001","37.349","37.001","41.9059","1552.6847839"
"2022-01-06 03:20","37.232","37.201","37.412","37.201","14.3799","536.3917395"
"2022-01-06 03:25","37.409","37.36","37.411","37.36","20.998","785.5439757"
"2022-01-06 03:30","37.362","37.296","37.42","37.296","20.3315","759.6296816"
"2022-01-06 03:35","37.312","37.561","37.937","37.312","327.46790364","12392.06870824652"
"2022-01-06 03:40","37.752","37.521","37.768","37.521","3.6642","137.8023732"
"2022-01-06 03:45","37.72","37.485","37.859","37.485","29.09402617","1095.36499584523"
"2022-01-06 03:50","37.465","37.333","37.465","37.333","20.36742841","761.56799165337"
"2022-01-06 03:55","37.465","37.149","37.465","37.148","20.0625263","747.7661556295"
"2022-01-06 04:00","37.332","37.141","37.456","37.031","31.30501433","1166.07845964417"
"2022-01-06 04:05","37.08","37.235","37.465","37.057","5.3344","199.01729932928"
"2022-01-06 04:10","37.44","37.58","37.58","37.235","3.2587921","122.22152166595"
"2022-01-06 04:15","37.573","37.504","37.578","37.504","13.66730026","513.42562387028"
"2022-01-06 04:20","37.376","37.237","37.376","37.237","0.5673","21.1460336"
"2022-01-06 04:25","37.315","37.234","37.342","37.234","59.96313599","2237.81865078402"
"2022-01-06 04:30","37.234","37.054","37.234","36.698","284.2943","10448.5257426"
"2022-01-06 04:35","36.827","36.8","36.827","36.8","9.1057","335.0990497"
"2022-01-06 04:40","36.8","37.023","37.027","36.8","17.48406733","645.41855570577"
"2022-01-06 04:45","36.834","36.984","36.984","36.75","39.46376023","1453.11940504632"
"2022-01-06 04:50","36.984","37.293","37.293","36.984","24.5357","911.7388191092"
"2022-01-06 04:55","37.291","37.666","37.679","37.291","79.75813336","2992.49106877144"
"2022-01-06 05:00","37.666","37.412","37.666","37.217","47.76888722","1789.15489048144"
"2022-01-06 05:05","37.41","37.779","37.8","37.41","31.2453826","1175.97299240308"
"2022-01-06 05:10","37.8","37.664","37.92","37.59","44.39162706","1674.20748038762"
"2022-01-06 05:15","37.705","37.929","38.086","37.593","196.64328524","7453.13166480999"
"2022-01-06 05:20","37.775","37.945","37.945","37.727","58.49392193","2214.12153793597"
"2022-01-06 05:25","37.752","37.739","37.945","37.73","36.37483057","1374.02350207865"
"2022-01-06 05:30","37.94","38.05","38.177","37.887","61.38024991","2338.15646753582"
"2022-01-06 05:35","38.05","38.002","38.076","38.002","31.48796314","1196.98392291864"
"2022-01-06 05:40","38.025","37.879","38.076","37.879","999.0078","37961.7862636"
"2022-01-06 05:45","37.879","37.616","37.879","37.616","122.376","4607.0360137"
"2022-01-06 05:50","37.616","37.902","37.903","37.594","35.7124","1344.3914311"
"2022-01-06 05:55","37.9","37.901","37.902","37.69","18.4984","698.9773974"
