"time","open","close","high","low","volume","turnover"
"2021-12-06 20:55","4.978","4.966","4.981","4.966","137.13637164","682.53041019556"
"2021-12-06 21:00","4.969","4.983","4.983","4.955","3535.58087191","17567.78618969762"
"2021-12-06 21:05","4.98","4.982","4.982","4.962","5035.2138","25003.1606623"
"2021-12-06 21:10","4.981","4.984","4.984","4.981","271.43993967","1352.3163885161"
"2021-12-06 21:15","4.981","4.987","4.988","4.964","2129.33618313","10601.61995301753"
"2021-12-06 21:20","4.979","4.988","4.988","4.979","343.97305473","1714.85208196056"
"2021-12-06 21:25","4.989","4.991","4.991","4.98","330.40737102","1648.38119798112"
"2021-12-06 21:30","4.99","4.982","4.991","4.982","21.96240504","109.60762395464"
"2021-12-06 21:35","4.99","4.997","4.997","4.979","2252.87038731","11227.34051492801"
"2021-12-06 21:40","4.989","4.991","4.997","4.988","76.85363712","384.00471628864"
"2021-12-06 21:45","4.998","5.021","5.03","4.998","3441.10646891","17255.01816199557"
"2021-12-06 21:50","5.02","5.052","5.052","5.015","1074.95048102","5404.56017994908"
"2021-12-06 21:55","5.052","5.088","5.088","5.052","16734.16039396","84988.7756580081"
"2021-12-06 22:00","5.088","5.089","5.126","5.086","24973.0290902","127667.24088593754"
"2021-12-06 22:05","5.092","5.118","5.118","5.091","1655.42925557","8435.65916824986"
"2021-12-06 22:10","5.113","5.131","5.136","5.111","3538.10401552","18142.48963668091"
"2021-12-06 22:15","5.131","5.131","5.138","5.115","7603.59800112","39026.08946406285"
"2021-12-06 22:20","5.131","5.126","5.137","5.114","659.80894759","3378.97773324407"
"2021-12-06 22:25","5.124","5.143","5.143","5.109","4243.5332426","21809.77157029672"
"2021-12-06 22:30","5.138","5.138","5.149","5.138","216.7368979","1114.5023303871"
"2021-12-06 22:35","5.135","5.151","5.152","5.133","773.80943069","3978.69573082281"
"2021-12-06 22:40","5.151","5.2","5.203","5.151","21173.15775295","109725.76062057295"
"2021-12-06 22:45","5.201","5.226","5.226","5.2","1087.92346597","5677.04790663298"
"2021-12-06 22:50","5.213","5.226","5.231","5.213","1642.86177145","8590.82185182411"
"2021-12-06 22:55","5.231","5.208","5.232","5.208","1261.23947721","6587.87084448758"
"2021-12-06 23:00","5.208","5.216","5.221","5.204","219.57507741","1143.33817025128"
"2021-12-06 23:05","5.218","5.217","5.218","5.2","883.2114465","4597.27313832131"
"2021-12-06 23:10","5.211","5.217","5.218","5.208","28.99287075","151.2469616735"
"2021-12-06 23:15","5.217","5.205","5.218","5.205","393.70326443","2053.97608489574"
"2021-12-06 23:20","5.212","5.2","5.214","5.2","555.54244562","2891.81443256268"
"2021-12-06 23:25","5.197","5.181","5.197","5.181","678.45990894","3519.84316199903"
"2021-12-06 23:30","5.18","5.185","5.186","5.176","591.36773699","3063.54464232929"
"2021-12-06 23:35","5.185","5.191","5.191","5.185","295.54976268","1533.49361397188"
"2021-12-06 23:40","5.189","5.203","5.203","5.188","753.10573732","3909.38444222812"
"2021-12-06 23:45","5.2","5.213","5.215","5.2","583.47465205","3041.4258351846"
"2021-12-06 23:50","5.211","5.228","5.228","5.198","3648.97229053","19009.37914364481"
"2021-12-06 23:55","5.222","5.221","5.236","5.221","2106.45153174","11014.77292969064"
"2021-12-07 00:00","5.239","5.271","5.271","5.239","974.31364342","5133.64675422158"
"2021-12-07 00:05","5.271","5.208","5.281","5.208","1585.28660197","8308.85065464859"
"2021-12-07 00:10","5.207","5.204","5.207","5.185","1104.67520644","5745.5221669856"
"2021-12-07 00:15","5.195","5.198","5.205","5.188","403.0020925","2092.1008924625"
"2021-12-07 00:20","5.189","5.18","5.193","5.167","1889.24959801","9795.47351004301"
