"time","open","close","high","low","volume","turnover"
"2023-04-30 21:55","4.863","4.9","4.9","4.863","14.1558","69.1786549"
"2023-04-30 22:00","4.9","4.856","4.908","4.856","55.8072","272.3878628"
"2023-04-30 22:05","4.862","4.85","4.862","4.85","52.0287","252.4387625"
"2023-04-30 22:10","4.85","4.851","4.851","4.85","11.4742","55.6503442"
"2023-04-30 22:15","4.85","4.85","4.85","4.85","20.2096","98.01656"
"2023-04-30 22:20","4.9","4.945","5.058","4.876","1045.5272","5235.0694248"
"2023-04-30 22:25","4.945","4.877","4.952","4.877","39.8148","196.4572768"
"2023-04-30 22:30","4.877","4.877","4.877","4.877","2.38","11.60726"
"2023-04-30 22:35","4.878","4.9","4.967","4.878","21.6453","107.1462514"
"2023-04-30 22:40","4.947","4.908","4.967","4.908","13.7894","67.8320473"
"2023-04-30 22:45","4.938","4.877","4.938","4.877","74.4689","364.0278336"
"2023-04-30 22:50","4.877","4.877","4.877","4.877","8.9603","43.6993831"
"2023-04-30 22:55","4.877","4.877","4.877","4.877","14.596","71.184692"
"2023-04-30 23:00","4.877","4.877","4.877","4.877","2.3871","11.6418867"
"2023-04-30 23:05","4.877","4.877","4.877","4.877","22.9732","112.0402964"
"2023-04-30 23:10","4.924","4.865","4.951","4.865","57.5088","282.6005308"
"2023-04-30 23:15","4.918","4.934","4.934","4.864","12.6087","61.56658"
"2023-04-30 23:20","4.883","4.861","4.883","4.861","59.5785","289.6396564"
"2023-04-30 23:25","4.861","4.861","4.861","4.861","1.5542","7.5549662"
"2023-04-30 23:30","4.861","4.861","4.861","4.86","5.77","28.0440197"
"2023-04-30 23:35","4.903","4.898","5.023","4.898","327.8223","1624.0892107"
"2023-04-30 23:40","4.897","4.9","4.986","4.897","50.1328","247.7350607"
"2023-04-30 23:45","4.945","4.945","4.945","4.945","3.8132","18.856274"
"2023-04-30 23:50","4.9","4.924","4.924","4.877","9.975","48.7896978"
"2023-04-30 23:55","4.877","4.867","4.941","4.867","25.6523","125.0615818"
